car_id,brand,model,body_type,transmission,year,color,km,description
26,Honda,Civic,Hatchback,Manual,2015,Zaitun,6116,"Ut blanditiis doloremque repudiandae occaecati quis maiores.
Voluptatum officia sed. Placeat doloremque labore dolore quae cupiditate quaerat."
27,Daihatsu,Terios,SUV,Automatic,2022,Merah jambu,66231,Repellendus necessitatibus explicabo eveniet harum neque. Modi esse cum. Ullam labore necessitatibus inventore aliquid similique.
28,Suzuki,Swift,MPV,Automatic,2000,Biru muda,149736,Rerum nam ab repellat dolorum excepturi. Exercitationem temporibus deserunt voluptatum facere. Dicta sunt adipisci.
29,Nissan,Sentra,Sedan,Automatic,2009,Koral,24627,Laudantium nesciunt ducimus dolor laudantium magnam nisi. Magni quam facilis cupiditate mollitia tenetur itaque. Itaque ut iusto maiores.
30,Suzuki,Vitara,SUV,Automatic,2011,Jingga,102512,Reprehenderit totam rem error. Dolore minima alias suscipit cupiditate veniam repellendus. Veniam nisi molestias ducimus pariatur accusantium atque.
31,Daihatsu,Terios,SUV,Manual,2002,Kuning,97106,Adipisci nostrum repudiandae sunt vero. Ullam nihil dolorum cupiditate provident consequuntur voluptatum. Corporis provident nemo quae soluta.
32,Suzuki,Vitara,MPV,Manual,2006,Perak,56486,Ullam voluptatem repellat nihil tempora. Nostrum recusandae laboriosam molestiae. Veritatis est voluptas consequuntur velit quo nemo.
33,Toyota,Yaris,Sedan,Manual,2003,Hitam,48303,"Quo tenetur quidem nesciunt commodi. Nostrum earum aperiam dicta. Facere corrupti et doloremque.
Aliquid blanditiis facere suscipit reprehenderit. Nobis facere aut eius unde earum."
34,Honda,Jazz,Hatchback,Automatic,2015,Merah marun,111534,Sunt corporis esse error voluptates. Exercitationem dolor corporis odit. Ipsam minus laudantium necessitatibus odio.
35,Toyota,Yaris,Hatchback,Manual,2016,Ungu,88354,"Aut tempora inventore accusantium quod. Dignissimos mollitia deserunt libero. Earum voluptatem adipisci quidem.
Voluptatem consectetur voluptatibus fuga. Illo temporibus aliquid."
36,Mitsubishi,Pajero,Sedan,Manual,2014,Hijau tua,29150,Maxime ratione maxime. Maiores numquam enim delectus voluptatibus ex.
37,Kia,Sorento,SUV,Manual,2022,Biru dongker,107851,Est dicta accusamus maiores consequatur.
38,Daihatsu,Xenia,MPV,Manual,2004,Zaitun,84070,Reiciendis commodi accusantium soluta dolorem minus reprehenderit. Occaecati corporis optio.
39,Honda,Accord,Sedan,Manual,2007,Biru laut,160700,"Qui quibusdam pariatur tenetur rerum quia at. Cupiditate ipsa eaque a doloribus.
Nesciunt reiciendis modi vitae fugiat.
Vero fugit atque. Cumque provident placeat ipsum sit."
40,Mitsubishi,Pajero,Sedan,Manual,2004,Putih,160058,Nihil reiciendis aliquid eligendi. Culpa expedita reiciendis id accusantium enim. Illo id delectus quaerat culpa.
41,Mitsubishi,Pajero,Sedan,Automatic,2014,Merah jambu,109108,Est optio ipsa eos. Dolorem distinctio consectetur impedit fugiat. Dolor voluptatum esse iusto amet.
42,Nissan,Altima,SUV,Manual,2018,Hijau muda,122803,Eos consequatur accusamus illo soluta. Itaque molestiae quo recusandae voluptatem odit tempora voluptatum. Magnam expedita odio pariatur.
43,Mitsubishi,Lancer,SUV,Automatic,2005,Coklat,137827,Veritatis nesciunt eligendi molestiae voluptas. Dolorem corrupti nesciunt architecto. Deleniti voluptatibus veniam temporibus quaerat labore suscipit. Dolorum vero veniam nisi est dolorum.
44,Nissan,Rogue,Sedan,Automatic,2012,Ungu tua,178840,Ipsa rem neque minus dolor deserunt perferendis ipsum. Minus culpa praesentium harum nulla. Similique temporibus animi expedita magni.
45,Suzuki,Ertiga,SUV,Manual,2012,Merah,61490,Suscipit fugit neque repudiandae rem ut error voluptatem. Possimus sunt nam id voluptatibus sint. Error perspiciatis nostrum saepe.
46,Honda,Jazz,Hatchback,Manual,2018,Merah bata,61383,Earum distinctio veniam ullam nisi. Est provident incidunt accusantium dignissimos doloribus. Accusantium reiciendis pariatur voluptate in rerum.
47,Toyota,Camry,Hatchback,Automatic,2006,Hitam,152080,Vero excepturi quia natus soluta. Nihil saepe dolores laborum quod sapiente. Qui sunt libero accusamus aliquid facilis laudantium.
48,Daihatsu,Terios,Hatchback,Manual,2009,Putih,38310,Qui animi cupiditate ipsa. Provident aut impedit est ea.
49,Suzuki,Swift,Hatchback,Manual,2012,Perak,93874,"Dolore iusto perspiciatis aliquam. Illo quia suscipit delectus quos rerum.
Non ullam voluptate pariatur. Quibusdam voluptatum pariatur possimus aliquid."
